注文コード,注文日時,会員番号,お名前,メール,郵便番号,住所,TEL,商品コード,商品名,価格,数量
14,2021-06-01 17:02:17,0,あいうえお,ryohei.sakamoto@mnwk.co.kp,111-1111,東京都神田和泉1-2-6,00000000000,1,にんじん,180,1
15,2021-06-01 17:02:38,0,あいうえお,ryohei.sakamoto@mnwk.co.kp,111-1111,東京都神田和泉1-2-6,00000000000,1,にんじん,180,1
16,2021-06-01 17:06:52,0,あいうえお,ryohei.sakamoto@mnwk.co.kp,111-1111,東京都神田和泉1-2-6,00000000000,1,にんじん,180,1
17,2021-06-01 17:07:17,0,あいうえお,ryosuke.sakamoto@mnwk.co.jp,111-1111,東京都神田和泉1-2-6,00000000000,1,にんじん,180,1
20,2021-06-01 17:29:04,4,あいうえお,ryosuke.sakamoto@mnwk.co.jp,111-1111,東京都神田和泉1-2-6,00000000000,1,にんじん,180,1
21,2021-06-01 17:33:20,5,あいうえお,ryosuke.sakamoto@mnwk.co.jp,111-1111,東京都神田和泉1-2-6,00000000000,1,にんじん,180,1
14,2021-06-01 17:02:17,0,あいうえお,ryohei.sakamoto@mnwk.co.kp,111-1111,東京都神田和泉1-2-6,00000000000,3,大根,150,1
15,2021-06-01 17:02:38,0,あいうえお,ryohei.sakamoto@mnwk.co.kp,111-1111,東京都神田和泉1-2-6,00000000000,3,大根,150,1
16,2021-06-01 17:06:52,0,あいうえお,ryohei.sakamoto@mnwk.co.kp,111-1111,東京都神田和泉1-2-6,00000000000,3,大根,150,1
17,2021-06-01 17:07:17,0,あいうえお,ryosuke.sakamoto@mnwk.co.jp,111-1111,東京都神田和泉1-2-6,00000000000,3,大根,150,1
20,2021-06-01 17:29:04,4,あいうえお,ryosuke.sakamoto@mnwk.co.jp,111-1111,東京都神田和泉1-2-6,00000000000,3,大根,150,1
